name,lon,lat,correlation,rmse
gandia_gandia_spain_pde,-0.152,38.995,0.724248593,0.053720844
gedser_837a_denmark_uhslc,11.933,54.567,0.637220308,0.153050282
geelong_013_australia_johnhunter,144.36,-38.147,0.821139799,0.069272752
genova_genova_italy_idromare,8.9253,44.41,0.692071318,0.069095959
georgetown_015_australia_johnhunter,146.85,-41.133,0.688993697,0.091528493
geraldton_014_australia_johnhunter,114.61,-28.773,0.809889122,0.071477983
geting_326a_malaysia_uhslc,102.11,6.2267,0.596555439,0.088242825
gibara_244a_cuba_uhslc,-76.117,21.117,0.281217398,0.055116274
gibraltar_289a_united_kingdom_uhslc,-5.35,36.117,0.676553586,0.053030342
gijon_gijon_spain_pde,-5.698,43.558,0.823065945,0.056885628
gisborne_b_078b_new_zealand_uhslc,178.03,-38.683,0.774710899,0.061747799
gladstone_p234_uk_bodc,-3.018,53.45,0.760959234,0.156116657
gloucesterpoint_usa_noaa,-76.5,37.247,0.760713343,0.0967694
gobo_japan_jma,135.17,33.85,0.519914955,0.078129658
gomera_gomera_spain_pde,-17,28,0.573980266,0.038718529
goteborgtorshamnen_005_sweden_smhi,11.8,57.683,0.815472717,0.108072066
grandisle_usa_noaa,-89.957,29.263,0.745642155,0.066816461
groote_eylandt_145a_australia_uhslc,136.42,-13.86,0.631299291,0.092571231
guadalupe_036a_mexico_uhslc,-118.3,28.883,0.35563007,0.04384409
guam_053a_usa_trust_uhslc,144.65,13.433,0.260445812,0.041077774
guantanamo_bay_b_251b_cuba_uhslc,-75.147,19.907,0.240117211,0.033390091
guaymas_397a_mexico_uhslc,-110.9,27.933,0.409759545,0.058755879
hachinohe_japan_jma,141.53,40.533,0.706691652,0.051774863
haikou_638a_china_uhslc,110.28,20.017,0.617287083,0.080767986
hakodate_japan_jma,140.73,41.783,0.741623286,0.054461976
"halifax,ns_00490_canada_meds",-63.583,44.667,0.575530323,0.101713497
hamada_japan_jma,132.07,34.9,0.682140174,0.061536094
hamina_002_finland_fmi,27.179,60.563,0.640252728,0.162340118
hanasaki_japan_jma,145.57,43.283,0.735802424,0.05904259
hanimaadhoo_b_117b_rep._of_maldives_uhslc,73.167,6.7667,0.295677228,0.041987264
hanko_003_finland_fmi,22.977,59.823,0.596352548,0.126625665
"harvest_oil_p.,ca_594a_usa_uhslc",-120.67,34.468,0.589435985,0.03952991
harwich_p022_uk_bodc,1.2845,51.947,0.688070588,0.143695435
heimsjoe_001_norway_statkart,9.1014,63.425,0.75909811,0.099550348
helsinki_004_finland_fmi,24.956,60.154,0.625569871,0.139403366
heysham_p050_uk_bodc,-2.9204,54.032,0.763694256,0.16340959
hillarys_132a_australia_uhslc,115.74,-31.825,0.828799877,0.072796365
"hilo,_hawaii_060a_usa_uhslc",-155.07,19.733,0.353090321,0.04120499
hinkleypoint_p003_uk_bodc,-3.1343,51.215,0.689622598,0.152137891
hiron_point_134a_bangladesh_uhslc,89.467,21.783,0.54629742,0.130312756
